Brand_Name,Course_ID,link,Course_Title,Price,Students,Ratings
Alpha,UK6721,https://alpha.co.uk/course/UK6721,Business Management Essentials,184.59,2287,3.7
Centre of Excellence,WW2843,https://centreofexcellence.co.uk/course/WW2843,Artificial Intelligence Basics,121.69,4079,3.5
FutureLearn,AF3892,,Excel for Data Analysis,182.76,1332,3.5
Centre of Excellence,RV3082,https://centreofexcellence.co.uk/course/RV3082,Entrepreneurship and Innovation,260.27,4794,4.2
Apex,AP3749,https://apex.co.uk/course/AP3749,Business Management Essentials,349.29,4829,3.9
Centre of Excellence,XE0458,https://centreofexcellence.co.uk/course/XE0458,Graphic Design Masterclass,92.46,3793,4.3
Alpha,LY9661,https://alpha.co.uk/course/LY9661,Web Development Diploma,354.48,1903,5.0
Global Edulink,IK4214,,Machine Learning Foundations,481.6,3631,
NextGen,QH5024,https://nextgen.co.uk/course/QH5024,Entrepreneurship and Innovation,359.01,1686,3.9
Stonebridge College,RM4249,https://stonebridgecollege.co.uk/course/RM4249,Project Management Professional,28.07,2210,5.0
IMOH,HR6092,https://imoh.co.uk/course/HR6092,Web Development Diploma,211.41,904,3.9
FutureLearn,UD0967,https://futurelearn.co.uk/course/UD0967,Cloud Computing Essentials,455.05,3524,4.5
Centre of Excellence,XO7331,https://centreofexcellence.co.uk/course/XO7331,Level 3 Data Analytics,270.16,2827,5.0
IMOH,UF8645,https://imoh.co.uk/course/UF8645,Business Management Essentials,128.61,4981,3.6
New Skills Academy,DM5537,https://newskillsacademy.co.uk/course/DM5537,Cloud Computing Essentials,,4546,4.6
Stonebridge College,VX4941,https://stonebridgecollege.co.uk/course/VX4941,Social Media Marketing,190.21,2981,5.0
New Skills Academy,GG6756,https://newskillsacademy.co.uk/course/GG6756,Healthcare Administration,205.42,3632,3.6
New Skills Academy,CH2351,https://newskillsacademy.co.uk/course/CH2351,Artificial Intelligence Basics,419.3,1197,4.3
Centre of Excellence,SS0454,,Graphic Design Masterclass,350.95,1844,4.4
Centre of Excellence,KU9085,https://centreofexcellence.co.uk/course/KU9085,Social Media Marketing,342.01,1419,4.3
StudyHub,YH3885,https://studyhub.co.uk/course/YH3885,UI UX Design Professional,120.98,2961,3.6
Stonebridge College,XM2436,https://stonebridgecollege.co.uk/course/XM2436,Machine Learning Foundations,470.86,2009,4.1
NextGen,VX9595,https://nextgen.co.uk/course/VX9595,Level 3 Data Analytics,469.0,4786,4.5
IMOH,QD4032,https://imoh.co.uk/course/QD4032,Financial Accounting Course,370.26,4111,4.5
Alpha,TJ7820,https://alpha.co.uk/course/TJ7820,Level 3 Data Analytics,121.99,673,4.3
Global Edulink,BY2090,https://globaledulink.co.uk/course/BY2090,Level 3 Data Analytics,269.53,2099,5.0
FutureLearn,FA1165,https://futurelearn.co.uk/course/FA1165,Graphic Design Masterclass,483.06,4598,
New Skills Academy,ST1671,https://newskillsacademy.co.uk/course/ST1671,Project Management Professional,320.22,2106,3.9
Apex,CA3693,https://apex.co.uk/course/CA3693,Graphic Design Masterclass,353.18,2305,4.8
IMOH,PV2636,https://imoh.co.uk/course/PV2636,Business Management Essentials,444.67,3241,4.8
Stonebridge College,UJ4353,https://stonebridgecollege.co.uk/course/UJ4353,Leadership and Communication,426.95,1698,3.7
New Skills Academy,CY6874,https://newskillsacademy.co.uk/course/CY6874,Excel for Data Analysis,450.29,3973,4.4
Apex,QX7485,https://apex.co.uk/course/QX7485,Financial Accounting Course,192.42,148,5.0
FutureLearn,VC8246,https://futurelearn.co.uk/course/VC8246,Machine Learning Foundations,149.12,4483,4.2
Alpha,AW1273,https://alpha.co.uk/course/AW1273,Full Stack Development,,1006,3.8
Apex,ON1245,https://apex.co.uk/course/ON1245,Artificial Intelligence Basics,358.97,4543,4.0
New Skills Academy,QM7026,https://newskillsacademy.co.uk/course/QM7026,Web Development Diploma,,1268,4.5
Stonebridge College,JO3953,https://stonebridgecollege.co.uk/course/JO3953,Cloud Computing Essentials,288.47,4605,4.3
Apex,HF7379,https://apex.co.uk/course/HF7379,Project Management Professional,321.8,1095,3.9
FutureLearn,FM7952,https://futurelearn.co.uk/course/FM7952,Business Management Essentials,486.78,3486,4.2
FutureLearn,HJ3710,https://futurelearn.co.uk/course/HJ3710,Digital Marketing Diploma,453.99,275,4.0
Global Edulink,HY6710,,Web Development Diploma,,1009,4.8
New Skills Academy,MI9281,https://newskillsacademy.co.uk/course/MI9281,Cyber Security Fundamentals,122.79,865,3.9
Centre of Excellence,MP6189,https://centreofexcellence.co.uk/course/MP6189,Cyber Security Fundamentals,21.91,3170,3.6
FutureLearn,DT6725,https://futurelearn.co.uk/course/DT6725,Cloud Computing Essentials,497.33,2255,4.9
New Skills Academy,HP4509,https://newskillsacademy.co.uk/course/HP4509,Business Management Essentials,,1110,4.9
FutureLearn,QG0251,https://futurelearn.co.uk/course/QG0251,Leadership and Communication,219.81,4326,4.4
New Skills Academy,RM0228,https://newskillsacademy.co.uk/course/RM0228,Cyber Security Fundamentals,490.36,1189,3.9
FutureLearn,YU6694,https://futurelearn.co.uk/course/YU6694,UI UX Design Professional,198.7,1234,4.0
FutureLearn,QX8013,https://futurelearn.co.uk/course/QX8013,Entrepreneurship and Innovation,93.05,1866,4.1
Apex,LM3425,https://apex.co.uk/course/LM3425,Cloud Computing Essentials,423.66,1945,3.6
IMOH,PX7602,,Entrepreneurship and Innovation,112.37,4064,5.0
Stonebridge College,YZ6207,https://stonebridgecollege.co.uk/course/YZ6207,Social Media Marketing,78.64,204,3.9
Global Edulink,QX1564,https://globaledulink.co.uk/course/QX1564,Cyber Security Fundamentals,,3225,4.5
New Skills Academy,JI6836,https://newskillsacademy.co.uk/course/JI6836,Web Development Diploma,354.22,2856,4.1
Centre of Excellence,VO4339,https://centreofexcellence.co.uk/course/VO4339,Machine Learning Foundations,135.54,2505,4.9
Global Edulink,VA8405,https://globaledulink.co.uk/course/VA8405,Full Stack Development,260.56,4181,4.7
New Skills Academy,QT2594,https://newskillsacademy.co.uk/course/QT2594,Social Media Marketing,328.48,4545,3.6
IMOH,AQ7730,https://imoh.co.uk/course/AQ7730,Leadership and Communication,444.44,1216,4.1
IMOH,FV1961,https://imoh.co.uk/course/FV1961,Web Development Diploma,56.05,2824,4.5
Global Edulink,SK4441,https://globaledulink.co.uk/course/SK4441,Graphic Design Masterclass,170.79,3819,4.3
Stonebridge College,NW8274,https://stonebridgecollege.co.uk/course/NW8274,Excel for Data Analysis,150.41,1765,3.6
Apex,VH2594,https://apex.co.uk/course/VH2594,Python Programming Bootcamp,158.6,2541,4.0
New Skills Academy,OI5543,https://newskillsacademy.co.uk/course/OI5543,Graphic Design Masterclass,415.66,3101,4.9
FutureLearn,OG7077,https://futurelearn.co.uk/course/OG7077,Machine Learning Foundations,234.06,4919,3.6
Centre of Excellence,ZU6191,https://centreofexcellence.co.uk/course/ZU6191,Entrepreneurship and Innovation,270.36,4192,4.5
Alpha,WW4547,https://alpha.co.uk/course/WW4547,Leadership and Communication,,4414,5.0
NextGen,BU2630,https://nextgen.co.uk/course/BU2630,Financial Accounting Course,360.15,1732,4.7
Global Edulink,JI7780,https://globaledulink.co.uk/course/JI7780,Cyber Security Fundamentals,142.71,3725,4.6
FutureLearn,QX9740,https://futurelearn.co.uk/course/QX9740,Business Management Essentials,132.92,166,3.6
New Skills Academy,EH0303,https://newskillsacademy.co.uk/course/EH0303,Leadership and Communication,219.87,1981,4.1
NextGen,GK6116,https://nextgen.co.uk/course/GK6116,Machine Learning Foundations,,562,4.2
Stonebridge College,RM5264,https://stonebridgecollege.co.uk/course/RM5264,Level 3 Data Analytics,127.5,609,3.8
New Skills Academy,XR1435,https://newskillsacademy.co.uk/course/XR1435,Leadership and Communication,467.96,3393,4.3
Apex,LH9813,https://apex.co.uk/course/LH9813,Human Resource Management,331.98,630,4.4
Stonebridge College,HS0830,https://stonebridgecollege.co.uk/course/HS0830,Digital Marketing Diploma,215.6,3197,4.3
Stonebridge College,TV9728,https://stonebridgecollege.co.uk/course/TV9728,Artificial Intelligence Basics,87.74,2794,4.0
FutureLearn,QR7686,https://futurelearn.co.uk/course/QR7686,Digital Marketing Diploma,54.98,3168,3.6
Apex,UA3193,https://apex.co.uk/course/UA3193,Leadership and Communication,429.18,3109,3.8
NextGen,FU8352,https://nextgen.co.uk/course/FU8352,Project Management Professional,18.41,2529,4.7
Apex,XY9288,,Cloud Computing Essentials,179.69,1807,4.5
IMOH,DZ8799,https://imoh.co.uk/course/DZ8799,UI UX Design Professional,33.55,2899,
Alpha,CK2137,https://alpha.co.uk/course/CK2137,Healthcare Administration,17.5,3780,4.3
Stonebridge College,JQ3646,https://stonebridgecollege.co.uk/course/JQ3646,UI UX Design Professional,429.68,1398,4.5
Alpha,XF0893,https://alpha.co.uk/course/XF0893,Leadership and Communication,311.77,385,4.5
IMOH,DY3408,https://imoh.co.uk/course/DY3408,Python Programming Bootcamp,,945,4.5
Centre of Excellence,LR7947,,Python Programming Bootcamp,402.47,1981,4.1
Centre of Excellence,RV6926,,Graphic Design Masterclass,325.21,4050,4.7
New Skills Academy,LG3939,https://newskillsacademy.co.uk/course/LG3939,Human Resource Management,412.11,3963,3.8
StudyHub,KE1846,https://studyhub.co.uk/course/KE1846,Full Stack Development,144.24,4157,3.7
StudyHub,BI9728,https://studyhub.co.uk/course/BI9728,UI UX Design Professional,18.93,2596,4.4
FutureLearn,PV2775,https://futurelearn.co.uk/course/PV2775,Healthcare Administration,174.91,4235,4.0
NextGen,ZO7181,https://nextgen.co.uk/course/ZO7181,Human Resource Management,423.99,1675,4.0
FutureLearn,PA2141,https://futurelearn.co.uk/course/PA2141,Cyber Security Fundamentals,137.74,4024,3.7
New Skills Academy,LJ5426,https://newskillsacademy.co.uk/course/LJ5426,Excel for Data Analysis,351.4,1566,4.9
Apex,LZ0446,https://apex.co.uk/course/LZ0446,Social Media Marketing,29.2,778,4.7
New Skills Academy,BC6026,https://newskillsacademy.co.uk/course/BC6026,UI UX Design Professional,148.2,3515,4.1
Alpha,JP2547,https://alpha.co.uk/course/JP2547,Business Management Essentials,288.57,2836,5.0
Global Edulink,SF4234,https://globaledulink.co.uk/course/SF4234,Leadership and Communication,212.18,2193,4.0
IMOH,II2964,https://imoh.co.uk/course/II2964,Cyber Security Fundamentals,,4182,3.9
IMOH,CC7855,https://imoh.co.uk/course/CC7855,UI UX Design Professional,343.12,2376,4.6
Global Edulink,ID3678,https://globaledulink.co.uk/course/ID3678,Digital Marketing Diploma,60.53,4002,4.3
Apex,PJ5262,https://apex.co.uk/course/PJ5262,Business Management Essentials,414.96,1415,3.9
Alpha,VJ7588,https://alpha.co.uk/course/VJ7588,Full Stack Development,58.99,445,4.9
Stonebridge College,RO6660,https://stonebridgecollege.co.uk/course/RO6660,Healthcare Administration,425.1,4410,4.0
Apex,XJ1160,https://apex.co.uk/course/XJ1160,Level 3 Data Analytics,475.53,4996,
IMOH,TF4337,https://imoh.co.uk/course/TF4337,Entrepreneurship and Innovation,,3190,3.9
Stonebridge College,CB1662,https://stonebridgecollege.co.uk/course/CB1662,Leadership and Communication,171.05,2988,3.8
New Skills Academy,PK2531,https://newskillsacademy.co.uk/course/PK2531,Entrepreneurship and Innovation,473.64,1217,4.7
New Skills Academy,NI2902,,Graphic Design Masterclass,54.69,3032,5.0
NextGen,TH1441,,UI UX Design Professional,37.38,782,4.0
FutureLearn,NV8080,https://futurelearn.co.uk/course/NV8080,Level 3 Data Analytics,67.36,1003,4.4
New Skills Academy,XW5574,https://newskillsacademy.co.uk/course/XW5574,Business Management Essentials,59.55,1592,4.1
Centre of Excellence,AI8689,https://centreofexcellence.co.uk/course/AI8689,Cyber Security Fundamentals,119.06,3043,4.8
Centre of Excellence,VG5533,https://centreofexcellence.co.uk/course/VG5533,Financial Accounting Course,81.84,3286,3.8
FutureLearn,IE5159,https://futurelearn.co.uk/course/IE5159,Human Resource Management,,1438,4.1
Alpha,SV8211,https://alpha.co.uk/course/SV8211,Full Stack Development,408.27,560,4.9
NextGen,TR1747,https://nextgen.co.uk/course/TR1747,Entrepreneurship and Innovation,300.03,1877,4.1
New Skills Academy,RW6939,https://newskillsacademy.co.uk/course/RW6939,Financial Accounting Course,50.92,2973,4.3
NextGen,LM6753,https://nextgen.co.uk/course/LM6753,Cyber Security Fundamentals,217.87,3652,3.7
Apex,MA3269,https://apex.co.uk/course/MA3269,Cyber Security Fundamentals,251.39,4798,4.1
Stonebridge College,PJ5970,,Entrepreneurship and Innovation,290.02,505,3.7
FutureLearn,IM1018,https://futurelearn.co.uk/course/IM1018,Financial Accounting Course,328.11,3122,4.5
IMOH,NE2445,https://imoh.co.uk/course/NE2445,Project Management Professional,126.38,554,4.1
Alpha,JH4357,https://alpha.co.uk/course/JH4357,Financial Accounting Course,150.0,873,4.3
IMOH,IO3289,https://imoh.co.uk/course/IO3289,Full Stack Development,223.8,2155,3.5
NextGen,IP1396,https://nextgen.co.uk/course/IP1396,Machine Learning Foundations,485.24,1902,4.0
NextGen,PY3378,https://nextgen.co.uk/course/PY3378,Excel for Data Analysis,31.27,3334,5.0
IMOH,QL3312,,Social Media Marketing,46.16,1300,4.5
FutureLearn,FD0817,https://futurelearn.co.uk/course/FD0817,Excel for Data Analysis,46.96,1306,3.8
StudyHub,RW6511,https://studyhub.co.uk/course/RW6511,Full Stack Development,154.3,3634,4.4
NextGen,SB3796,https://nextgen.co.uk/course/SB3796,Cloud Computing Essentials,296.31,2753,4.6
FutureLearn,NI8483,https://futurelearn.co.uk/course/NI8483,Entrepreneurship and Innovation,,1403,4.9
New Skills Academy,MH3598,https://newskillsacademy.co.uk/course/MH3598,Full Stack Development,446.23,3069,3.7
NextGen,WB4397,https://nextgen.co.uk/course/WB4397,Excel for Data Analysis,174.47,1195,3.8
IMOH,HT2914,https://imoh.co.uk/course/HT2914,Artificial Intelligence Basics,237.21,2795,3.8
New Skills Academy,XY4333,https://newskillsacademy.co.uk/course/XY4333,Cyber Security Fundamentals,,4186,3.9
Alpha,FI0731,https://alpha.co.uk/course/FI0731,Digital Marketing Diploma,,2558,4.5
Apex,XM8746,https://apex.co.uk/course/XM8746,Cyber Security Fundamentals,89.68,1631,3.6
StudyHub,GV5751,https://studyhub.co.uk/course/GV5751,Web Development Diploma,470.86,305,4.4
FutureLearn,HB4741,https://futurelearn.co.uk/course/HB4741,Social Media Marketing,460.4,59,4.9
Stonebridge College,NQ5720,https://stonebridgecollege.co.uk/course/NQ5720,Human Resource Management,434.37,1065,4.1
FutureLearn,OE6539,https://futurelearn.co.uk/course/OE6539,UI UX Design Professional,407.17,273,5.0
Global Edulink,UN0803,https://globaledulink.co.uk/course/UN0803,Human Resource Management,,4208,4.1
Apex,TJ0261,https://apex.co.uk/course/TJ0261,Entrepreneurship and Innovation,416.29,4834,4.8
Alpha,DJ3686,https://alpha.co.uk/course/DJ3686,Social Media Marketing,239.66,560,3.9
NextGen,VB7420,https://nextgen.co.uk/course/VB7420,Graphic Design Masterclass,37.62,4663,4.5
StudyHub,II3840,https://studyhub.co.uk/course/II3840,Graphic Design Masterclass,271.83,1718,5.0
Apex,JU8313,https://apex.co.uk/course/JU8313,Machine Learning Foundations,282.16,3686,4.9
New Skills Academy,XK9449,https://newskillsacademy.co.uk/course/XK9449,Excel for Data Analysis,426.33,2098,4.9
Apex,US0685,,Financial Accounting Course,307.03,4594,4.5
IMOH,CR3646,https://imoh.co.uk/course/CR3646,Human Resource Management,312.88,3469,3.9
New Skills Academy,BW3929,,Digital Marketing Diploma,20.87,299,4.3
IMOH,RK5710,https://imoh.co.uk/course/RK5710,Full Stack Development,388.44,4012,4.0
New Skills Academy,AB7335,,Full Stack Development,410.03,285,4.3
NextGen,RY3755,https://nextgen.co.uk/course/RY3755,Machine Learning Foundations,439.56,1898,4.4
Alpha,QG1743,https://alpha.co.uk/course/QG1743,UI UX Design Professional,245.22,3328,4.7
IMOH,GG4929,https://imoh.co.uk/course/GG4929,Social Media Marketing,323.29,2172,3.8
FutureLearn,DW4840,https://futurelearn.co.uk/course/DW4840,Financial Accounting Course,76.82,4909,5.0
Alpha,SO2217,https://alpha.co.uk/course/SO2217,Project Management Professional,307.96,1408,4.2
Alpha,ND2170,,UI UX Design Professional,453.04,1381,4.3
Stonebridge College,JU5603,https://stonebridgecollege.co.uk/course/JU5603,Social Media Marketing,230.95,1408,4.1
Global Edulink,KK5130,https://globaledulink.co.uk/course/KK5130,Cloud Computing Essentials,314.82,2178,4.9
Global Edulink,IW7619,https://globaledulink.co.uk/course/IW7619,Leadership and Communication,,3522,4.2
Global Edulink,XB1113,https://globaledulink.co.uk/course/XB1113,Artificial Intelligence Basics,136.54,3081,3.6
Alpha,YN2019,https://alpha.co.uk/course/YN2019,Healthcare Administration,314.19,4350,3.8
NextGen,QP0655,https://nextgen.co.uk/course/QP0655,Project Management Professional,294.03,4092,3.6
Stonebridge College,SP8580,https://stonebridgecollege.co.uk/course/SP8580,Digital Marketing Diploma,73.15,3495,4.5
Stonebridge College,GF5608,https://stonebridgecollege.co.uk/course/GF5608,UI UX Design Professional,98.23,2997,4.0
Apex,QH2844,https://apex.co.uk/course/QH2844,Digital Marketing Diploma,449.43,3316,4.3
NextGen,LM2637,https://nextgen.co.uk/course/LM2637,Human Resource Management,486.82,4206,3.8
Centre of Excellence,DJ5342,https://centreofexcellence.co.uk/course/DJ5342,Artificial Intelligence Basics,30.03,4749,4.0
NextGen,CH3628,,Project Management Professional,25.58,573,
Alpha,YS1194,https://alpha.co.uk/course/YS1194,Web Development Diploma,188.49,1803,
New Skills Academy,AY5923,https://newskillsacademy.co.uk/course/AY5923,Digital Marketing Diploma,29.26,2346,4.2
Apex,MW6458,https://apex.co.uk/course/MW6458,Leadership and Communication,347.01,4252,4.9
NextGen,WS7345,https://nextgen.co.uk/course/WS7345,Graphic Design Masterclass,39.93,2105,4.6
Alpha,OB5729,https://alpha.co.uk/course/OB5729,Full Stack Development,100.42,2816,4.3
IMOH,DC3953,https://imoh.co.uk/course/DC3953,Python Programming Bootcamp,462.78,575,4.4
FutureLearn,PK0078,https://futurelearn.co.uk/course/PK0078,Excel for Data Analysis,190.77,3337,4.6
New Skills Academy,DX1933,https://newskillsacademy.co.uk/course/DX1933,Full Stack Development,40.55,1696,4.8
Apex,PN5454,https://apex.co.uk/course/PN5454,Level 3 Data Analytics,377.31,1581,3.7
Alpha,IC4388,https://alpha.co.uk/course/IC4388,Level 3 Data Analytics,229.23,1956,
Stonebridge College,MZ7757,https://stonebridgecollege.co.uk/course/MZ7757,Entrepreneurship and Innovation,141.93,4630,3.8
New Skills Academy,EQ6816,https://newskillsacademy.co.uk/course/EQ6816,Digital Marketing Diploma,286.34,1346,
Stonebridge College,YC0316,https://stonebridgecollege.co.uk/course/YC0316,Leadership and Communication,170.47,4682,4.8
Global Edulink,UX8701,https://globaledulink.co.uk/course/UX8701,Graphic Design Masterclass,300.86,1653,4.0
Global Edulink,IR5319,,Financial Accounting Course,327.92,1219,3.6
Global Edulink,JU7666,https://globaledulink.co.uk/course/JU7666,Graphic Design Masterclass,273.18,4768,4.6
FutureLearn,HH9977,https://futurelearn.co.uk/course/HH9977,Social Media Marketing,221.51,2522,4.0
Alpha,MO9725,https://alpha.co.uk/course/MO9725,UI UX Design Professional,450.83,1811,3.9
Centre of Excellence,XK3710,https://centreofexcellence.co.uk/course/XK3710,Cyber Security Fundamentals,254.14,3862,4.9
Alpha,YR7282,https://alpha.co.uk/course/YR7282,UI UX Design Professional,13.69,2374,3.7
Apex,DQ5265,https://apex.co.uk/course/DQ5265,Artificial Intelligence Basics,130.52,2613,4.8
StudyHub,CI4619,https://studyhub.co.uk/course/CI4619,Project Management Professional,,2447,3.8
Centre of Excellence,QW4672,https://centreofexcellence.co.uk/course/QW4672,Web Development Diploma,449.42,4904,3.6
StudyHub,XC5579,https://studyhub.co.uk/course/XC5579,Project Management Professional,18.94,4374,5.0
Centre of Excellence,WE9934,https://centreofexcellence.co.uk/course/WE9934,Web Development Diploma,64.9,517,
StudyHub,AO1929,https://studyhub.co.uk/course/AO1929,UI UX Design Professional,434.1,695,5.0
Global Edulink,MY8411,https://globaledulink.co.uk/course/MY8411,Project Management Professional,250.47,4339,4.3
New Skills Academy,QS0326,https://newskillsacademy.co.uk/course/QS0326,Graphic Design Masterclass,290.09,1191,4.6
NextGen,PQ4434,https://nextgen.co.uk/course/PQ4434,Business Management Essentials,107.76,4677,3.9
NextGen,ZM9034,https://nextgen.co.uk/course/ZM9034,Healthcare Administration,66.27,4799,3.9
Alpha,HS0660,https://alpha.co.uk/course/HS0660,Business Management Essentials,294.81,4284,4.9
New Skills Academy,HK5873,https://newskillsacademy.co.uk/course/HK5873,Business Management Essentials,167.11,3794,4.1
Apex,JF9449,https://apex.co.uk/course/JF9449,Human Resource Management,232.59,310,3.6
Centre of Excellence,SX7887,https://centreofexcellence.co.uk/course/SX7887,Full Stack Development,495.08,2110,
IMOH,NN3918,https://imoh.co.uk/course/NN3918,Excel for Data Analysis,53.06,1392,4.5
FutureLearn,OD3512,https://futurelearn.co.uk/course/OD3512,Entrepreneurship and Innovation,382.51,2044,4.2
New Skills Academy,CN8454,https://newskillsacademy.co.uk/course/CN8454,Digital Marketing Diploma,306.99,3540,
Global Edulink,MU7387,https://globaledulink.co.uk/course/MU7387,Entrepreneurship and Innovation,465.47,4077,4.9
IMOH,BI0990,https://imoh.co.uk/course/BI0990,Social Media Marketing,70.91,425,5.0
StudyHub,HE1679,https://studyhub.co.uk/course/HE1679,Human Resource Management,110.45,1620,4.9
Centre of Excellence,LX3098,https://centreofexcellence.co.uk/course/LX3098,Python Programming Bootcamp,363.58,3693,4.8
Alpha,DZ3198,https://alpha.co.uk/course/DZ3198,Level 3 Data Analytics,78.49,922,4.6
Apex,MS4324,https://apex.co.uk/course/MS4324,Python Programming Bootcamp,401.77,1364,3.7
Apex,EW7066,https://apex.co.uk/course/EW7066,Level 3 Data Analytics,409.14,127,4.3
FutureLearn,FC0570,https://futurelearn.co.uk/course/FC0570,Digital Marketing Diploma,,1115,4.1
Centre of Excellence,LO7719,https://centreofexcellence.co.uk/course/LO7719,Artificial Intelligence Basics,410.13,1368,4.6
Stonebridge College,IP6331,https://stonebridgecollege.co.uk/course/IP6331,Excel for Data Analysis,450.84,4720,4.3
FutureLearn,KH5571,https://futurelearn.co.uk/course/KH5571,Leadership and Communication,123.78,1298,4.1
Global Edulink,MZ9673,https://globaledulink.co.uk/course/MZ9673,Leadership and Communication,270.61,4966,4.9
Centre of Excellence,DJ7483,https://centreofexcellence.co.uk/course/DJ7483,Python Programming Bootcamp,315.88,2020,4.1
New Skills Academy,XO9512,https://newskillsacademy.co.uk/course/XO9512,Graphic Design Masterclass,173.08,1252,4.0
Alpha,QX8071,https://alpha.co.uk/course/QX8071,Healthcare Administration,78.24,2085,4.6
Centre of Excellence,RP8177,https://centreofexcellence.co.uk/course/RP8177,UI UX Design Professional,290.84,2254,
FutureLearn,MW3909,https://futurelearn.co.uk/course/MW3909,Business Management Essentials,162.74,1000,3.7
New Skills Academy,XS7323,https://newskillsacademy.co.uk/course/XS7323,Web Development Diploma,110.23,1907,4.6
Centre of Excellence,MQ3384,https://centreofexcellence.co.uk/course/MQ3384,Social Media Marketing,,2962,3.7
Alpha,XJ4521,https://alpha.co.uk/course/XJ4521,Healthcare Administration,272.88,4960,4.8
Global Edulink,YP4133,https://globaledulink.co.uk/course/YP4133,Artificial Intelligence Basics,72.47,3278,4.3
